永吉路180巷,"25.045540, 121.571498","25.042323, 121.571377"
虎林街50巷,"25.046960, 121.574297","25.046884, 121.576862"
永吉路278巷,"25.045432, 121.574179","25.041843, 121.574070"
基隆路一段83巷,"25.046797, 121.568048","25.046631, 121.571434"
永吉路443巷,"25.047948, 121.578332","25.045490, 121.578376"
永吉路180巷42弄,"25.044345, 121.569287","25.044284, 121.571448"
松高路20巷,"25.039046, 121.567636","25.035886, 121.567580"
忠孝東路四段559巷,"25.044191, 121.563686","25.041307, 121.563607"
忠孝東路五段790巷,"25.042394, 121.582795","25.039515, 121.584246"
永吉路30巷167弄,"25.041992, 121.565846","25.041871, 121.570145"
松德路180巷,"25.037567, 121.573580","25.034008, 121.573483"
虎林街132巷,"25.040491, 121.568602","25.040280, 121.577609"
福德街232巷,"25.039264, 121.584232","25.035738, 121.585387"
大道路94巷,"25.039575, 121.580411","25.040728, 121.583413"
信義路六段76巷8弄,"25.034559, 121.577387","25.030666, 121.575521"
光復南路415巷,"25.037103, 121.561227","25.037188, 121.557655"
信義路五段150巷,"25.031838, 121.569684","25.028507, 121.569744"
虎林街222巷 林口街38巷,"25.036114, 121.575224","25.038450, 121.580878"
莊敬路391巷,"25.028545, 121.5658","25.027530, 121.565532"
松德路200巷,"25.034800, 121.570783","25.034681, 121.574460"
吳興街284巷24弄,"25.023076, 121.561670","25.024663, 121.563676"
松勇路69巷,"25.033612, 121.569716","25.033550, 121.572684"
吳興街394巷,"25.024961, 121.565099","25.024781, 121.567430"
吳興街220巷,"25.030205, 121.560514","25.027443, 121.562762"
吳興街432巷,"25.023162, 121.568125","25.022143, 121.568276"
信安街15巷,"25.027881, 121.558089","25.027867, 121.560468"
富陽街21巷,"25.022935, 121.557249","25.020204, 121.558867"
莊敬路391巷,"25.028239, 121.564580","25.027289, 121.568304"
富陽街87巷,"25.021224, 121.556576","25.022224, 121.558548"
吳興街494巷,"25.023987, 121.567905","25.023127, 121.569613"
